game_id,season,game_type,week,date,weekday,gametime,home,away,neutral,div_game,roof,temp,wind,home_rest,away_rest,spread_close,total_close,home_ml,away_ml,margin,total_points,playoff,home_cover_margin,home_covered,over_margin,over_result,home_won,primetime,abs_spread,dog_is_home,has_fav,dog_res,home_res,over_res,under_res,ml_fav,ml_dog,ret_fav,ret_dog,pred_home_margin,abs_spread_err,abs_total_err
2022_01_IND_HOU,2022,REG,1,2022-09-11,Sunday,13:00,HOU,IND,0,1,closed,,,7,7,7.0,46.0,250.0,-290.0,0.0,40.0,0,7.0,W,-6.0,U,0,0,7.0,True,True,W,W,L,W,-290.0,250.0,0.3448275862068966,-1.0,-7.0,7.0,6.0
2022_01_NE_MIA,2022,REG,1,2022-09-11,Sunday,13:00,MIA,NE,0,1,outdoors,,,7,7,-3.0,47.0,-155.0,140.0,13.0,27.0,0,10.0,W,-20.0,U,1,0,3.0,False,True,L,W,L,W,-155.0,140.0,0.6451612903225806,-1.0,3.0,10.0,20.0
2022_01_BAL_NYJ,2022,REG,1,2022-09-11,Sunday,13:00,NYJ,BAL,0,0,outdoors,,,7,7,6.5,44.0,231.0,-265.0,-15.0,33.0,0,-8.5,L,-11.0,U,0,0,6.5,True,True,L,L,L,W,-265.0,231.0,0.3773584905660377,-1.0,-6.5,8.5,11.0
2022_01_JAX_WAS,2022,REG,1,2022-09-11,Sunday,13:00,WAS,JAX,0,0,outdoors,,,7,7,-3.0,43.5,-159.0,143.0,6.0,50.0,0,3.0,W,6.5,O,1,0,3.0,False,True,L,W,W,L,-159.0,143.0,0.6289308176100629,-1.0,3.0,3.0,6.5
2022_01_KC_ARI,2022,REG,1,2022-09-11,Sunday,16:25,ARI,KC,0,0,closed,,,7,7,6.0,54.0,221.0,-252.0,-23.0,65.0,0,-17.0,L,11.0,O,0,0,6.0,True,True,L,L,W,L,-252.0,221.0,0.3968253968253968,-1.0,-6.0,17.0,11.0
2022_01_LV_LAC,2022,REG,1,2022-09-11,Sunday,16:25,LAC,LV,0,1,dome,,,7,7,-3.5,52.5,-180.0,161.0,5.0,43.0,0,1.5,W,-9.5,U,1,0,3.5,False,True,L,W,L,W,-180.0,161.0,0.5555555555555556,-1.0,3.5,1.5,9.5
2022_01_GB_MIN,2022,REG,1,2022-09-11,Sunday,16:25,MIN,GB,0,1,dome,,,7,7,-2.5,47.0,-125.0,113.0,16.0,30.0,0,13.5,W,-17.0,U,1,0,2.5,False,True,L,W,L,W,-125.0,113.0,0.8,-1.0,2.5,13.5,17.0
2022_01_NYG_TEN,2022,REG,1,2022-09-11,Sunday,16:25,TEN,NYG,0,0,outdoors,,,7,7,-5.5,43.5,-239.0,209.0,-1.0,41.0,0,-6.5,L,-2.5,U,0,0,5.5,False,True,W,L,L,W,-239.0,209.0,-1.0,2.09,5.5,6.5,2.5
2022_01_TB_DAL,2022,REG,1,2022-09-11,Sunday,20:20,DAL,TB,0,0,closed,,,7,7,2.5,49.5,120.0,-133.0,-16.0,22.0,0,-13.5,L,-27.5,U,0,1,2.5,True,True,L,L,L,W,-133.0,120.0,0.7518796992481203,-1.0,-2.5,13.5,27.5
2022_01_DEN_SEA,2022,REG,1,2022-09-12,Monday,20:15,SEA,DEN,0,0,outdoors,,,7,7,6.0,44.0,221.0,-253.0,1.0,33.0,0,7.0,W,-11.0,U,1,1,6.0,True,True,W,W,L,W,-253.0,221.0,-1.0,2.21,-6.0,7.0,11.0
2022_02_LAC_KC,2022,REG,2,2022-09-15,Thursday,20:15,KC,LAC,0,1,outdoors,,,4,4,-4.0,52.5,-188.0,167.0,3.0,51.0,0,-1.0,L,-1.5,U,1,1,4.0,False,True,W,L,L,W,-188.0,167.0,0.5319148936170213,-1.0,4.0,1.0,1.5
2022_02_MIA_BAL,2022,REG,2,2022-09-18,Sunday,13:00,BAL,MIA,0,0,outdoors,,,7,7,-3.0,44.0,-164.0,148.0,-4.0,80.0,0,-7.0,L,36.0,O,0,0,3.0,False,True,W,L,W,L,-164.0,148.0,-1.0,1.48,3.0,7.0,36.0
2022_02_NYJ_CLE,2022,REG,2,2022-09-18,Sunday,13:00,CLE,NYJ,0,0,outdoors,,,7,7,-6.5,38.5,-235.0,207.0,-1.0,61.0,0,-7.5,L,22.5,O,0,0,6.5,False,True,W,L,W,L,-235.0,207.0,-1.0,2.07,6.5,7.5,22.5
2022_02_WAS_DET,2022,REG,2,2022-09-18,Sunday,13:00,DET,WAS,0,0,dome,,,7,7,1.0,48.5,103.0,-114.0,9.0,63.0,0,10.0,W,14.5,O,1,0,1.0,True,True,W,W,W,L,-114.0,103.0,-1.0,1.03,-1.0,10.0,14.5
2022_02_IND_JAX,2022,REG,2,2022-09-18,Sunday,13:00,JAX,IND,0,1,outdoors,,,7,7,3.0,43.5,142.0,-157.0,24.0,24.0,0,27.0,W,-19.5,U,1,0,3.0,True,True,W,W,L,W,-157.0,142.0,-1.0,1.42,-3.0,27.0,19.5
2022_02_TB_NO,2022,REG,2,2022-09-18,Sunday,13:00,NO,TB,0,1,dome,,,7,7,2.5,44.0,124.0,-138.0,-10.0,30.0,0,-7.5,L,-14.0,U,0,0,2.5,True,True,L,L,L,W,-138.0,124.0,0.7246376811594203,-1.0,-2.5,7.5,14.0
2022_02_CAR_NYG,2022,REG,2,2022-09-18,Sunday,13:00,NYG,CAR,0,0,outdoors,,,7,7,1.0,44.0,103.0,-114.0,3.0,35.0,0,4.0,W,-9.0,U,1,0,1.0,True,True,W,W,L,W,-114.0,103.0,-1.0,1.03,-1.0,4.0,9.0
2022_02_NE_PIT,2022,REG,2,2022-09-18,Sunday,13:00,PIT,NE,0,0,outdoors,,,7,7,3.0,40.0,135.0,-150.0,-3.0,31.0,0,0.0,P,-9.0,U,0,0,3.0,True,True,P,P,L,W,-150.0,135.0,0.6666666666666666,-1.0,-3.0,0.0,9.0
2022_02_ATL_LA,2022,REG,2,2022-09-18,Sunday,16:05,LA,ATL,0,0,dome,,,10,7,-10.5,46.5,-473.0,385.0,4.0,58.0,0,-6.5,L,11.5,O,1,0,10.5,False,True,W,L,W,L,-473.0,385.0,0.2114164904862579,-1.0,10.5,6.5,11.5
2022_02_SEA_SF,2022,REG,2,2022-09-18,Sunday,16:05,SF,SEA,0,1,outdoors,,,7,6,-8.5,40.0,-379.0,318.0,20.0,34.0,0,11.5,W,-6.0,U,1,0,8.5,False,True,L,W,L,W,-379.0,318.0,0.2638522427440633,-1.0,8.5,11.5,6.0
2022_02_CIN_DAL,2022,REG,2,2022-09-18,Sunday,16:25,DAL,CIN,0,0,closed,,,7,7,7.5,42.0,260.0,-303.0,3.0,37.0,0,10.5,W,-5.0,U,1,0,7.5,True,True,W,W,L,W,-303.0,260.0,-1.0,2.6,-7.5,10.5,5.0
2022_02_HOU_DEN,2022,REG,2,2022-09-18,Sunday,16:25,DEN,HOU,0,0,outdoors,,,6,7,-10.5,46.0,-481.0,391.0,7.0,25.0,0,-3.5,L,-21.0,U,1,0,10.5,False,True,W,L,L,W,-481.0,391.0,0.2079002079002079,-1.0,10.5,3.5,21.0
2022_02_ARI_LV,2022,REG,2,2022-09-18,Sunday,16:25,LV,ARI,0,0,dome,,,7,7,-5.5,51.5,-223.0,197.0,-6.0,52.0,0,-11.5,L,0.5,O,0,0,5.5,False,True,W,L,W,L,-223.0,197.0,-1.0,1.97,5.5,11.5,0.5
2022_02_CHI_GB,2022,REG,2,2022-09-18,Sunday,20:20,GB,CHI,0,1,outdoors,,,7,7,-10.5,42.0,-420.0,348.0,17.0,37.0,0,6.5,W,-5.0,U,1,1,10.5,False,True,L,W,L,W,-420.0,348.0,0.238095238095238,-1.0,10.5,6.5,5.0
2022_02_TEN_BUF,2022,REG,2,2022-09-19,Monday,19:15,BUF,TEN,0,0,outdoors,,,11,8,-10.0,47.5,-395.0,329.0,34.0,48.0,0,24.0,W,0.5,O,1,1,10.0,False,True,L,W,W,L,-395.0,329.0,0.2531645569620253,-1.0,10.0,24.0,0.5
2022_02_MIN_PHI,2022,REG,2,2022-09-19,Monday,20:30,PHI,MIN,0,0,outdoors,,,8,8,-2.5,49.5,-141.0,127.0,17.0,31.0,0,14.5,W,-18.5,U,1,1,2.5,False,True,L,W,L,W,-141.0,127.0,0.7092198581560284,-1.0,2.5,14.5,18.5
2022_03_PIT_CLE,2022,REG,3,2022-09-22,Thursday,20:15,CLE,PIT,0,1,outdoors,,,4,4,-4.5,38.0,-206.0,183.0,12.0,46.0,0,7.5,W,8.0,O,1,1,4.5,False,True,L,W,W,L,-206.0,183.0,0.4854368932038835,-1.0,4.5,7.5,8.0
2022_03_NO_CAR,2022,REG,3,2022-09-25,Sunday,13:00,CAR,NO,0,1,outdoors,,,7,7,2.0,41.0,112.0,-123.0,8.0,36.0,0,10.0,W,-5.0,U,1,0,2.0,True,True,W,W,L,W,-123.0,112.0,-1.0,1.12,-2.0,10.0,5.0
2022_03_HOU_CHI,2022,REG,3,2022-09-25,Sunday,13:00,CHI,HOU,0,0,outdoors,,,7,7,-3.0,40.0,-156.0,141.0,3.0,43.0,0,0.0,P,3.0,O,1,0,3.0,False,True,P,P,W,L,-156.0,141.0,0.6410256410256411,-1.0,3.0,0.0,3.0
2022_03_KC_IND,2022,REG,3,2022-09-25,Sunday,13:00,IND,KC,0,0,open,,,7,10,4.5,51.0,177.0,-199.0,3.0,37.0,0,7.5,W,-14.0,U,1,0,4.5,True,True,W,W,L,W,-199.0,177.0,-1.0,1.77,-4.5,7.5,14.0
2022_03_BUF_MIA,2022,REG,3,2022-09-25,Sunday,13:00,MIA,BUF,0,1,outdoors,,,7,6,4.0,54.0,175.0,-196.0,2.0,40.0,0,6.0,W,-14.0,U,1,0,4.0,True,True,W,W,L,W,-196.0,175.0,-1.0,1.75,-4.0,6.0,14.0
